human,hydra,type
THAP12,t32025aep,one_one
THAP12,t33846aep,one_one
THAP12,t31220aep,one_one
THAP12,t31832aep,one_one
GAL3ST3,t2223aep,many_one
GAL3ST1,t2223aep,many_one
GAL3ST2,t2223aep,many_one
GAL3ST4,t2223aep,many_one
GAL3ST3,t9857aep,many_one
GAL3ST1,t9857aep,many_one
GAL3ST2,t9857aep,many_one
GAL3ST4,t9857aep,many_one
GAL3ST3,t24240aep,many_one
GAL3ST1,t24240aep,many_one
GAL3ST2,t24240aep,many_one
GAL3ST4,t24240aep,many_one
GAL3ST3,t11063aep,many_one
GAL3ST1,t11063aep,many_one
GAL3ST2,t11063aep,many_one
GAL3ST4,t11063aep,many_one
GAL3ST3,t3aep,many_one
GAL3ST1,t3aep,many_one
GAL3ST2,t3aep,many_one
GAL3ST4,t3aep,many_one
GAL3ST3,t17341aep,many_one
GAL3ST1,t17341aep,many_one
GAL3ST2,t17341aep,many_one
GAL3ST4,t17341aep,many_one
GAL3ST3,t38419aep,many_one
GAL3ST1,t38419aep,many_one
GAL3ST2,t38419aep,many_one
GAL3ST4,t38419aep,many_one
GAL3ST3,t27557aep,many_one
GAL3ST1,t27557aep,many_one
GAL3ST2,t27557aep,many_one
GAL3ST4,t27557aep,many_one
GAL3ST3,t13269aep,many_one
GAL3ST1,t13269aep,many_one
GAL3ST2,t13269aep,many_one
GAL3ST4,t13269aep,many_one
GAL3ST3,t15673aep,many_one
GAL3ST1,t15673aep,many_one
GAL3ST2,t15673aep,many_one
GAL3ST4,t15673aep,many_one
GAL3ST3,t37234aep,many_one
GAL3ST1,t37234aep,many_one
GAL3ST2,t37234aep,many_one
GAL3ST4,t37234aep,many_one
GAL3ST3,t28204aep,many_one
GAL3ST1,t28204aep,many_one
GAL3ST2,t28204aep,many_one
GAL3ST4,t28204aep,many_one
GAL3ST3,t537aep,many_one
GAL3ST1,t537aep,many_one
GAL3ST2,t537aep,many_one
GAL3ST4,t537aep,many_one
GAL3ST3,t27332aep,many_one
GAL3ST1,t27332aep,many_one
GAL3ST2,t27332aep,many_one
GAL3ST4,t27332aep,many_one
GAL3ST3,t24824aep,many_one
GAL3ST1,t24824aep,many_one
GAL3ST2,t24824aep,many_one
GAL3ST4,t24824aep,many_one
ABCG8,t24561aep,one_one
ABCG8,t38316aep,one_one
ABCG8,t35749aep,one_one
ABCG8,t20049aep,one_one
ABCG8,t19303aep,one_one
ABCG8,t6244aep,one_one
ABCG8,t22010aep,one_one
ABCG8,t36674aep,one_one
ELSPBP1,t15827aep,many_one
BSPH1,t15827aep,many_one
ELSPBP1,t37805aep,many_one
BSPH1,t37805aep,many_one
ELSPBP1,t34690aep,many_one
BSPH1,t34690aep,many_one
ELSPBP1,t31785aep,many_one
BSPH1,t31785aep,many_one
ELSPBP1,t35683aep,many_one
BSPH1,t35683aep,many_one
ELSPBP1,t15632aep,many_one
BSPH1,t15632aep,many_one
ELSPBP1,t38729aep,many_one
BSPH1,t38729aep,many_one
ZNF576,t280aep,one_one
ZNF576,t18568aep,one_one
ZNF576,t16783aep,one_one
SPINT3,t21508aep,one_one
SPINT3,t27488aep,one_one
SPINT3,t18606aep,one_one
SPINT3,t30750aep,one_one
SPINT3,t22948aep,one_one
SPINT3,t3140aep,one_one
SPINT3,t3143aep,one_one
SPINT3,t3139aep,one_one
SPINT3,t3142aep,one_one
SPINT3,t3141aep,one_one
ANKRD37,t737aep,one_one
PPP1R27,t37090aep,many_one
NRARP,t37090aep,many_one
PPP1R27,t24507aep,many_one
NRARP,t24507aep,many_one
PPP1R27,t7488aep,many_one
NRARP,t7488aep,many_one
PPP1R27,t6947aep,many_one
NRARP,t6947aep,many_one
OPN4,t35194aep,one_one
OPN4,t29598aep,one_one
OPN4,t36574aep,one_one
OPN4,t26718aep,one_one
OPN4,t22822aep,one_one
OPN4,t11851aep,one_one
OPN4,t30680aep,one_one
OPN4,t24537aep,one_one
PRRT1B,t24060aep,many_one
PRRT1,t24060aep,many_one
PRRT1B,t31936aep,many_one
PRRT1,t31936aep,many_one
PRRT1B,t32745aep,many_one
PRRT1,t32745aep,many_one
PRRT1B,t32100aep,many_one
PRRT1,t32100aep,many_one
PRRT1B,t28448aep,many_one
PRRT1,t28448aep,many_one
PRRT1B,t10955aep,many_one
PRRT1,t10955aep,many_one
ASIC5,t22261aep,one_one
ASIC5,t33776aep,one_one
ASIC5,t25237aep,one_one
ASIC5,t1111aep,one_one
ASIC5,t2383aep,one_one
ASIC5,t7088aep,one_one
ASIC5,t24413aep,one_one
ASIC5,t31555aep,one_one
ASIC5,t32104aep,one_one
ZNF276,t23761aep,one_one
ZNF276,t9290aep,one_one
ZBTB41,t13213aep,many_one
ZNF131,t13213aep,many_one
ZBTB41,t4259aep,many_one
ZNF131,t4259aep,many_one
ZBTB41,t6698aep,many_one
ZNF131,t6698aep,many_one
ZBTB41,t11772aep,many_one
ZNF131,t11772aep,many_one
PGBD4,t17474aep,one_one
PGBD4,t18109aep,one_one
PGBD4,t13556aep,one_one
PGBD4,t3039aep,one_one
PGBD4,t28291aep,one_one
PGBD4,t3040aep,one_one
PGBD4,t33285aep,one_one
PGBD4,t34694aep,one_one
PGBD4,t9944aep,one_one
PGBD4,t2006aep,one_one
PGBD4,t10303aep,one_one
PGBD4,t36785aep,one_one
PGBD4,t35626aep,one_one
THAP1,t1134aep,one_one
THAP1,t22634aep,one_one
THAP9,t37694aep,one_one
THAP9,t22430aep,one_one
THAP9,t37855aep,one_one
THAP9,t37665aep,one_one
THAP9,t27259aep,one_one
THAP9,t22431aep,one_one
THAP9,t28132aep,one_one
THAP9,t30570aep,one_one
SLC2A8,t14570aep,one_one
SLC2A8,t16676aep,one_one
SLC2A8,t22199aep,one_one
SLC2A8,t6918aep,one_one
SLC2A8,t10586aep,one_one
SLC2A8,t9851aep,one_one
SLC2A8,t941aep,one_one
SLC2A8,t942aep,one_one
CYP17A1,t21804aep,one_one
CYP17A1,t2752aep,one_one
CYP17A1,t14413aep,one_one
CYP17A1,t17017aep,one_one
CYP17A1,t8877aep,one_one
CYP17A1,t8265aep,one_one
CYP17A1,t9758aep,one_one
CYP17A1,t18685aep,one_one
CYP17A1,t22603aep,one_one
CYP17A1,t35207aep,one_one
CYP17A1,t31794aep,one_one
PKD1L2,t10020aep,one_one
PKD1L2,t30595aep,one_one
PKD1L2,t23481aep,one_one
PKD1L2,t15771aep,one_one
PKD1L2,t37464aep,one_one
PKD1L2,t27388aep,one_one
MB,t15462aep,many_one
CYGB,t15462aep,many_one
HBM,t15462aep,many_one
HBA1,t15462aep,many_one
HBA2,t15462aep,many_one
HBQ1,t15462aep,many_one
HBZ,t15462aep,many_one
HBG1,t15462aep,many_one
HBG2,t15462aep,many_one
HBE1,t15462aep,many_one
HBD,t15462aep,many_one
HBB,t15462aep,many_one
ZBED1,t35586aep,one_one
ZBED1,t35587aep,one_one
ZBED1,t31394aep,one_one
ZBED1,t32967aep,one_one
ZBED1,t9379aep,one_one
ZBED1,t31348aep,one_one
ZBED1,t20610aep,one_one
ZBED1,t34397aep,one_one
ZBED1,t34398aep,one_one
SLC26A11,t15849aep,one_one
SLC26A11,t17543aep,one_one
SLC26A11,t27416aep,one_one
SLC26A11,t31730aep,one_one
SLC26A11,t12225aep,one_one
SLC26A11,t6100aep,one_one
SLC26A11,t2669aep,one_one
SLC26A11,t2668aep,one_one
CGRRF1,t13131aep,one_one
RDH11,t25279aep,many_one
RDH12,t25279aep,many_one
RDH11,t10440aep,many_one
RDH12,t10440aep,many_one
RDH11,t7505aep,many_one
RDH12,t7505aep,many_one
RDH11,t20793aep,many_one
RDH12,t20793aep,many_one
CFP,t12633aep,one_one
CFP,t13688aep,one_one
CFP,t35863aep,one_one
CFP,t27792aep,one_one
CFP,t33829aep,one_one
CFP,t15897aep,one_one
CFP,t21102aep,one_one
CFP,t32002aep,one_one
CFP,t12596aep,one_one
CFP,t38146aep,one_one
EML6,t30812aep,one_one
EML6,t560aep,one_one
EML6,t14012aep,one_one
EML6,t29545aep,one_one
EML6,t32639aep,one_one
SPEGNB,t20249aep,one_one
SPEGNB,t30180aep,one_one
SPEGNB,t549aep,one_one
SPEGNB,t31231aep,one_one
SPEGNB,t31230aep,one_one
SPEGNB,t26100aep,one_one
SPEGNB,t31238aep,one_one
SPEGNB,t12295aep,one_one
SPEGNB,t20250aep,one_one
CNTNAP3C,t15665aep,many_one
CNTNAP3B,t15665aep,many_one
CNTNAP3,t15665aep,many_one
CNTNAP4,t15665aep,many_one
CNTNAP5,t15665aep,many_one
CNTNAP2,t15665aep,many_one
CNTNAP1,t15665aep,many_one
CNTNAP3C,t17101aep,many_one
CNTNAP3B,t17101aep,many_one
CNTNAP3,t17101aep,many_one
CNTNAP4,t17101aep,many_one
CNTNAP5,t17101aep,many_one
CNTNAP2,t17101aep,many_one
CNTNAP1,t17101aep,many_one
CDH23,t32272aep,one_one
CDH23,t25835aep,one_one
CDH23,t36988aep,one_one
CDH23,t37636aep,one_one
CDH23,t33242aep,one_one
CDH23,t27076aep,one_one
CDH23,t24227aep,one_one
CDH23,t26649aep,one_one
CDH23,t25214aep,one_one
HSPA8,t31912aep,one_one
HSPA8,t5749aep,one_one
HSPA8,t32296aep,one_one
HSPA8,t32679aep,one_one
HSPA8,t34911aep,one_one
GAA,t38025aep,one_one
GAA,t24164aep,one_one
GAA,t36826aep,one_one
GAA,t14474aep,one_one
ATP1A3,t22156aep,one_one
ATP1A3,t25443aep,one_one
ATP1A3,t32545aep,one_one
ATP1A3,t16440aep,one_one
ATP1A3,t31899aep,one_one
ATP1A3,t36825aep,one_one
ATP1A3,t36340aep,one_one
ATP1A3,t3324aep,one_one
TRPA1,t29007aep,one_one
TRPA1,t18319aep,one_one
TRPA1,t24246aep,one_one
TRPA1,t32809aep,one_one
TRPA1,t13046aep,one_one
TRPA1,t22599aep,one_one
PRDM6,t31009aep,one_one
PRDM6,t3149aep,one_one
PRDM6,t22039aep,one_one
PRDM6,t36738aep,one_one
PRDM6,t29627aep,one_one
NPR3,t24971aep,one_one
NPR2,t4996aep,many_one
NPR1,t4996aep,many_one
NPR2,t9388aep,many_one
NPR1,t9388aep,many_one
NPR2,t36031aep,many_one
NPR1,t36031aep,many_one
NPR2,t7063aep,many_one
NPR1,t7063aep,many_one
NPR2,t37695aep,many_one
NPR1,t37695aep,many_one
MARCHF1,t2842aep,many_one
MARCHF8,t2842aep,many_one
MARCHF1,t3845aep,many_one
MARCHF8,t3845aep,many_one
MARCHF1,t14996aep,many_one
MARCHF8,t14996aep,many_one
MARCHF1,t38498aep,many_one
MARCHF8,t38498aep,many_one
MARCHF1,t5152aep,many_one
MARCHF8,t5152aep,many_one
PRKAA2,t8721aep,one_one
ZBED9,t13554aep,many_one
KRBA2,t13554aep,many_one
ZMYM6,t35484aep,many_one
FAM200B,t35484aep,many_one
FAM200A,t35484aep,many_one
ZBED5,t35484aep,many_one
ZBED8,t35484aep,many_one
ABCA3,t17089aep,one_one
